pn,brand_name,chip_type,subtype,interface,capacity,emcp_nand,emcp_ram,package,nand_gen,source_url,confidence,notes
THGAF9G7L1LBAB7,Kioxia,UFS,UFS Kioxia,UFS 2.1,16GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C (Tc=115C max); dual-supply VCC+VCCQ2.
THGAFBG8T13BAB7,Kioxia,UFS,UFS Kioxia,UFS 2.1,32GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13.0x1.0mm.
THGAFEG8T13BAB7,Kioxia,UFS,UFS Kioxia,UFS 2.1,32GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13.0x1.0mm; max pre-load 100% (variante E).
THGAFBG9T23BAB8,Kioxia,UFS,UFS Kioxia,UFS 2.1,64GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13.0x1.2mm.
THGAFEG9T23BAB8,Kioxia,UFS,UFS Kioxia,UFS 2.1,64GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13.0x1.2mm; max pre-load 100% (variante E).
THGAFBT0T43BAB8,Kioxia,UFS,UFS Kioxia,UFS 2.1,128GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C (Tc=115C max).
THGAFET0T43BAB8,Kioxia,UFS,UFS Kioxia,UFS 2.1,128GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; max pre-load 100% (variante E).
THGAFBT1T83BAB5,Kioxia,UFS,UFS Kioxia,UFS 2.1,256GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13x1.3mm.
THGAFET1T83BAB5,Kioxia,UFS,UFS Kioxia,UFS 2.1,256GB,,,,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; -40 a 105C; pacote 11.5x13x1.3mm; max pre-load 100% (variante E).
THGAMVG7T13BAIL,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,16GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA 11.5x13x0.8mm. Prefixo NOVO THGAM.
THGAMVG8T13BAIL,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,32GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA 11.5x13x0.8mm. Prefixo NOVO THGAM.
THGAMVG9T23BAIL,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,64GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA. Prefixo NOVO THGAM.
THGAMVT0T43BAIR,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,128GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA 11.5x13x1.0mm. Prefixo NOVO THGAM.
THGAMSG9T24BAIL,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,64GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA 11.5x13x0.8mm. Prefixo NOVO THGAM (serie S).
THGAMST0T24BAIL,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,128GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_e-MMC_Product_Brief.pdf,confirmed,Consumer grade; BiCS FLASH 3D; -25 a 85C; 153-ball BGA. Prefixo NOVO THGAM (serie S).
THGBMJG6C1LBAB7,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,8GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; FG NAND; -40 a 105C (Tc=115C max); 153-ball BGA 11.5x13.0x1.0mm. Variante BAB7 (vs BAU7 industrial ja no banco).
THGBMJG7C2LBAB8,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,16GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; FG NAND; -40 a 105C; 153-ball BGA 11.5x13.0x1.0mm. Variante BAB8.
THGBMJG8C4LBAB8,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,32GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; FG NAND; -40 a 105C; 153-ball BGA 11.5x13.0x1.2mm. Variante BAB8.
THGBMJG9C8LBAB8,Kioxia,eMMC,eMMC Kioxia,eMMC 5.1,64GB,,,BGA-153,,https://americas.kioxia.com/content/dam/kioxia/shared/business/memory/automotive/asset/productbrief/KIOXIA_Automotive_Solutions_Product_Brief.pdf,confirmed,Automotive AEC-Q100 Grade 2; FG NAND; -40 a 105C; 153-ball BGA 11.5x13.0x1.2mm. Variante BAB8.
