"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT62F1G64D4EK-020FAUT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020AAT:D","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Introduction","X64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020AUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020AAT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Obsolete","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020FAUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","Obsolete","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020AUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-026 AAT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Obsolete","1.5Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2DADBDM-DC X Y52N","","","","","","","","","","","1190","14.00 x 12.40 x 0.61","2500","12","COMPONENT","","UFLGA","DRAM"
"MT62F1DAD4AS-DC Y62P","","","","0.5 VOLTS","","","","","","","1020","7.20 x 12.40 x 1.00","3000","4","COMPONENT","","VFBGA","DRAM"
"MT62F512M64D2EK-020AIT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-031 WT:C","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-020AIT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Contact Sales","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F512M64D2CZ-020 AAT:E","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Production","512Mb x64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020FAUT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","End of Life","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020FAAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D8EK-031 WT:B","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2CZ-026 WT:E","32Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Production","512Mb x64","1020","8.00 x 12.40 x 1.20","2500","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F8BZD8DV-DC Y52P","","","","","","","","","","","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","","","DRAM"
"MT62F1G32D2DS-031 RS WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"SM2G64Y42MD8FCL-UT","102.4Gb","NSR","NSR","0.5 VOLTS","0C to +70C","x64","CL = NSR","496-ball","Production","2Gb x64","","14.00 x 12.40 x 0.69","1800","8","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F768M32D2DS-020 WT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-020 AUT:C","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","Obsolete","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-020FAIT:D","24Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-020FAAT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-020FAAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D4EK-031 WT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","512Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020AAT:D","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Introduction","X64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D2DS-031 AIT:B","16Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D4EK-031 AUT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","512Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DS-031 IT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-020AAT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Obsolete","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-020FAUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1BAD2DS-DC Y52N","","","","0.5 VOLTS","","","","","","","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","","TFBGA","DRAM"
"MT62F2G64D8EK-020AAT:F","128Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Sampling","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-020AUT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DS-031 AIT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-026 WT:B","32Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-026 WT:C","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Production","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4WT-031 XT:B","48Gb","3200MHz","6400MTPS","0.5 VOLTS","-30C to +105C","x64","CL = Programmable","640-ball","End of Life","768Mb x64","1020","6.80 x 13.10 x 1.01","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F4G32D8DV-026 AAT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","End of Life","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F512M32D1DS-026 WT:E","16Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-023 WT:D","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F768M64D4EK-026RFWT:C","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Contact Sales","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-020AIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Sampling","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4ZU-031 RF WT:B","48Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","768Mb x64","1190","14.00 x 12.40 x 0.65","2500","4","COMPONENT","LPDDR5","UFBGA","DRAM"
"MT62F1DAD8CZ-DC Y62P","","","","","","","","","","","","8.00 x 12.40 x 1.20","","8","COMPONENT","","","DRAM"
"MT62F3G32D8DV-020AIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F2DADAGK-DC Y5BN","","","","","","","","","","","1190","14.00 x 12.40 x 0.61","2500","16","COMPONENT","","","DRAM"
"MT62F2G32D4DS-031RFWT:C","64Gb","3200MHz","6400MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Contact Sales","X32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020FAIT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-026 AAT:B","128Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-020FAAT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F512M32D1DS-020FAAT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3G32D8DV-020FAUT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1536M64D8CL-026 WT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","1.5Gb x64","1190","14.00 x 12.40 x 0.69","2500","8","COMPONENT","LPDDR5","WFBGA","DRAM"
"MT62F2DAD8DL-DC X","","","","0.5 VOLTS","","","","","","","1190","14.00 x 12.40 x 0.51","2500","8","COMPONENT","","UFLGA","DRAM"
"MT62F1G64D4EK-020AIT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Sampling","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-020 WT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Contact Sales","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-026 WT:C","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-020 WT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F3BAD8DV-MS Y52N","","","","","","","","","","","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","","LFBGA","DRAM"
"MT62F1DAD8CZ-DC Y52N","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","","","DRAM"
"MT62F1G32D2DS-020FAUT:F","32Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","End of Life","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-026 WT:B","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-026 AIT:B","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020AIT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-020FAIT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8EK-026 WT:B","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","1.5Gb x64","1190","14.00 x 14.00 x 1.10","1500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DAD8AS-DC Y62P","","","","0.5 VOLTS","","","","","","","1020","7.20 x 12.40 x 1.00","3000","8","COMPONENT","","VFBGA","DRAM"
"MT62F1536M64D8EK-026 WT:C","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Contact Sales","1.5Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4ZU-026 WT:B","48Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","Production","768Mb x64","1190","14.00 x 12.40 x 0.65","2500","4","COMPONENT","LPDDR5","UFBGA","DRAM"
"MT62F1G64D4EK-026 WT:B","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","End of Life","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1DAD4CZ-MS Y52N","","","","","","","","","","","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","","","DRAM"
"MT62F1G64D4EK-026 WT:C","64Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-026 WT:C","96Gb","3750MHz","7500MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","561-ball","Contact Sales","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-020FAIT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","End of Life","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-020FAAT:D","96Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","End of Life","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4CZ-020AAT:D","48Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","End of Life","768Mb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D4DR-031 IT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = 36","315-ball","Obsolete","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M32D1DS-020AIT:E","16Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4CZ-020AUT:F","64Gb","4800MHz","9600MTPS","0.5 VOLTS","-40C to +125C","x64","CL = Programmable","561-ball","Sampling","1Gb x64","1020","8.00 x 12.40 x 1.20","2500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G32D2DS-020AIT:F","","","","0.5 VOLTS","","","","","","","1050","","2000","","","","",""
"MT62F1G32D2DS-031RFIT:C","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +95C","x32","CL = Programmable","315-ball","Contact Sales","1Gb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D4EK-031 AAT:B","32Gb","3200MHz","6400MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","End of Life","512Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
