PART NUMBER,FAMILIA,TIPO,CLASSE,LARGURA,ORGANIZACAO,PROVA,EMPILHADO,CAPACIDADE,CONFIDENCE,REVIEW,FONTE,OBS
K3LK3K30EM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK4K40BM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK4K40BMCGCN,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK4K40CM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK6K60BM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK7K70BM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK7K70BMJHCP,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LKCKC0BM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK2K20BMBGCN,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK3K30EMBGCN,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK4K40CMBGCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK4K40CMJFCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK6K60BMJGCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK7K70BMJGCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LKBKB0BMMGCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LKCKC0BMMFCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LKDKD0CMBGCP,K3LK,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,18GB,confirmed,approved,,familia K3LK sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3MF8F80DMMGCE,K3MF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3MF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3MF9F90MMMGCE,K3MF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3MF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE0E00QMBGC2,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE0E00QMCGC2,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE4E400A,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE7E700B,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE7E70QMBGC2,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3PE7E70QMCGC2,K3P,LPDDR2,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3P sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F100G,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10DM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10DM-AGCE,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10DM-BGCE,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10DM-BGCF,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10EM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10EM-AGCF,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F200A,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F200B,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F200C,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F200E,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20DA,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20DE,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,manual,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20DM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20EM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF3F30BM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF4F40BM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF4F40CM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF5F50AMEGCE,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1.5GB,distributor,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF5F50MM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1.5GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60AMQGCF,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60MMFGCF,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60MMJGCE,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60MMQGCF,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF7F70DM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QFAFA0CM,K3Q,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3Q sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF1F10EMAGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,1GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20BMAGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20EMAGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20EMFGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF2F20EMQGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF3F30BMAGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF3F30BMAGCG,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF3F30BMFGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF4F40BMAGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF4F40BMFGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF4F40CMAGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60AMFGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60MMFGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QF6F60MMQGCE,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3QFAFA0CMAGCF,K3QF,LPDDR3,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3QF sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG1G1,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG1G10BMMGCH,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G2,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BM,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BM0G0J,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BMAGCH,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BMCGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BMDGCH,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BMMGCH,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20BMMGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20CAMGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20CMCGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,manual,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG2G20CMFGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG3G3,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG4G4,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG4G40MMMGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG4G40MMMGCJT00E,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG5G5,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,distributor,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG5G50MMFGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,4GB,distributor,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG6G6,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG6G60MMMGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG8G8,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3RG8G80MMMGCJ,K3R,LPDDR4,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3R sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH5H5,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,4GB,manual,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH5H50AM,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH5H50MMNGCJ,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6H6,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,6GB,manual,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6H60AMNGCJ,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6H60AMTHCL,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6H60BMAGCL,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6H60BMEGCL,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH6M6,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3UH7H7,K3U,LPDDR4X,dram_mobile,,,NAO IDENTIFICADO,,8GB,manual,approved,,familia K3U sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K4A4G045WDBC,K4A,DDR4,dram_pc,x4,1Gx4,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""1Gx4(K4A4G045WD-BC##)*18"" e ""*36"""
K4A4G045WDBCPB,K4A,DDR4,dram_pc,x4,1Gx4,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""1Gx4(K4A4G045WD-BC##)*18"" e ""*36"""
K4A4G045WDBCRC,K4A,DDR4,dram_pc,x4,1Gx4,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""1Gx4(K4A4G045WD-BC##)*18"" e ""*36"""
K4A4G085WDBC,K4A,DDR4,dram_pc,x8,512Mx8,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""512Mx8(K4A4G085WD-BC##)*18"""
K4A4G085WDBCPB,K4A,DDR4,dram_pc,x8,512Mx8,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""512Mx8(K4A4G085WD-BC##)*18"""
K4A4G085WDBCRC,K4A,DDR4,dram_pc,x8,512Mx8,datasheet-fabricante,,512MB,confirmed,approved,https://download.semiconductor.samsung.com/resources/data-sheet/DDR4_4Gb_D_die_Registered_DIMM_Rev1_8_Aug_16-0.pdf,"Samsung DDR4 4Gb D-die RDIMM Rev1.8: ""512Mx8(K4A4G085WD-BC##)*18"""
K4A4G085WE,K4A,DDR4,dram_pc,x8,,regra,,512MB,confirmed,approved,,"regra posicional — familia K4A corroborada por 14 concordancia(s), 0 divergencias, larguras x16,x4,x8"
K4A4G085WEBCPB,K4A,DDR4,dram_pc,x8,,regra,,512MB,confirmed,approved,,"regra posicional — familia K4A corroborada por 14 concordancia(s), 0 divergencias, larguras x16,x4,x8"
