"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT53E1536M64D8HJ-046 AIT:B","96Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Obsolete","1.5Gb x64","1360","12.40 x 12.40 x 1.10","2000","8","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53B128M32D1DT-053 AAT:A","4Gb","1866MHz","3733MTPS","1.1 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Production","128Mb x32","1360","10.00 x 14.50 x 0.95","2000","1","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E768M32D2NP-046 WT:B","24Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","End of Life","768Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E2G32D4DE-046 WT:C","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Contact Sales","2Gb x32","1360","10.00 x 14.50 x 1.14","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2FW-046 AUT:B","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1536M64D8HJ-046 AIT:C","96Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Contact Sales","1.5Gb x64","1360","12.40 x 12.40 x 1.10","2000","8","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D1KS-046 AUT:L","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.95","2000","1","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E768M16D1ZW-046 AIT:C","12Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x16","CL = Programmable","200-ball","Production","768Mb x16","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G64D4HJ-046 WT:A","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x64","CL = Programmable","556-ball","Obsolete","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E768M32D2ZW-046 AIT:C","24Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Contact Sales","768Mb x32","1360","10.00 x 14.50 x 1.05","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G64D4HJ-046 WT:C","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-30C to +85C","x64","CL = Programmable","556-ball","Production","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53B128M32D1DT-053 AIT:A","4Gb","1866MHz","3733MTPS","1.1 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","128Mb x32","1360","10.00 x 14.50 x 0.95","2000","1","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E1536M64D8HJ-046 AAT:C","96Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Contact Sales","1.5Gb x64","1360","12.40 x 12.40 x 1.10","2000","8","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2DS-046 IT:B","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Contact Sales","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1536M64D8HJ-046 WT:C","96Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x64","CL = Programmable","556-ball","Production","1.5Gb x64","1360","12.40 x 12.40 x 1.10","2000","8","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1536M64D8HJ-046 AAT:B","96Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Obsolete","1.5Gb x64","1360","12.40 x 12.40 x 1.10","2000","8","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2FW-046 IT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","128Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E384M32D2DS-053 WT:E","12Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","End of Life","384Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1536M32D4DE-046 WT:C","48Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Production","1.5Gb x32","1360","10.00 x 14.50 x 1.14","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G64D4NW-046 WT:C","64Gb","2133MHz","4266MTPS","0.6 VOLTS","-25C to +85C","x64","CL = Programmable","432-ball","Production","1Gb x64","1190","15.00 x 15.00 x 0.85","2000","4","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E512M64D2HJ-046 AIT:B","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Production","512Mb x64","1360","12.40 x 12.40 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 IT:B","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G16D1FW-046 AAT:A","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x16","CL = Programmable","200-ball","Obsolete","1Gb x16","1360","10.00 x 14.50 x 1.10","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2FW-046 IT:B","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 IT:C","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2DS-046 AIT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1G32D2FW-046 AAT:B","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 AAT:A","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Obsolete","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2DS-053 AUT:B","8Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E256M32D2DS-053 WT:B","8Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-30C to +85C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1G32D2FW-046 IT:A","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Obsolete","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 AAT:C","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E512M16D1Z11MWC1","8Gb","","","1.1/0.6 VOLTS","0C to +85C","x16","","","Production","512M x16","","","","1","","","","DRAM"
"MT53E512M32D1ZW-046 AAT:B","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Production","512Mb x32","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G16D1FW-046 AIT:A","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x16","CL = Programmable","200-ball","Obsolete","1Gb x16","1360","10.00 x 14.50 x 1.10","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E2G64D8TN-046 AAT:C","128Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Contact Sales","2Gb x64","1360","12.40 x 12.40 x 1.23","2000","8","COMPONENT","LPDDR4","LFBGA","DRAM"
"MT53E2G64D8TN-046 AAT:A","128Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","End of Life","2Gb x64","1360","12.40 x 12.40 x 1.23","2000","8","COMPONENT","LPDDR4","LFBGA","DRAM"
"MT53E128M32D2DS-046 AAT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1G32D2FW-046 AIT:B","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 AIT:A","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Obsolete","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G32D2FW-046 AIT:C","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","1Gb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G64D4HJ-046 AAT:C","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Contact Sales","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E768M64D4HJ-046 AUT:C","48Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x64","CL = Programmable","556-ball","Production","768Mb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2DS-053 AAT:B","8Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Contact Sales","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1G64D4SQ-046 WT:A","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x64","CL = Programmable","556-ball","Obsolete","1Gb x64","1360","12.40 x 12.40 x 0.85","2000","4","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E128M32D2DS-053 WT:A","4Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Production","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E256M32D2DS-046 AUT:B","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","Contact Sales","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E2G64D8TN-046 AIT:C","128Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Contact Sales","2Gb x64","1360","12.40 x 12.40 x 1.23","2000","8","COMPONENT","LPDDR4","LFBGA","DRAM"
"MT53E2G64D8TN-046 AIT:A","128Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Obsolete","2Gb x64","1360","12.40 x 12.40 x 1.23","2000","8","COMPONENT","LPDDR4","LFBGA","DRAM"
"MT53E256M32D2DS-046 WT:B","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-30C to +85C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E1G64D4HJ-046 AAT:A","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Obsolete","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G64D4HJ-046 AIT:C","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","Production","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2FW-046 WT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G16D1ZW-046 WT:C","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x16","CL = Programmable","200-ball","Production","1Gb x16","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E1G16D1ZW-046 AUT:C","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x16","CL = Programmable","200-ball","Contact Sales","1Gb x16","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E384M32D2FW-046 IT:E","12Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","384Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2DS-046 AUT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E256M16D1DS-046 AAT:B","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x16","CL = Programmable","200-ball","Production","256Mb x16","1360","10.00 x 14.50 x 0.80","2000","1","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E512M32D1ZW-046 AIT:B","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","512Mb x32","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D2DS-053 AIT:B","8Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E768M32D4DT-053 WT:E","24Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","End of Life","768Mb x32","1360","10.00 x 14.50 x 0.95","2000","4","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E512M64D2HJ-046 AAT:B","32Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x64","CL = Programmable","556-ball","Production","512Mb x64","1360","12.40 x 12.40 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2DS-046 WT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Production","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53E512M32D2FW-046 AIT:D","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Obsolete","512Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D1ZW-046 WT:L","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Obsolete","256Mb x32","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E128M32D2FW-046 AUT:A","4Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +125C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 1.10","2000","2","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E256M32D1KS-046 AAT:L","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +105C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.95","2000","1","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E512M32D1ZW-046BIT:B","16Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","512Mb x32","1360","10.00 x 14.50 x 1.05","2000","1","COMPONENT","LPDDR4","TFBGA","DRAM"
"MT53E2G32D4NQ-046 WT:A","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Obsolete","2Gb x32","1360","10.00 x 14.50 x 0.95","2000","4","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E4G32D8GS-046 WT:C","128Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-25C to +85C","x32","CL = Programmable","200-ball","Production","4Gb x32","1360","10.00 x 14.50 x 1.30","2000","8","COMPONENT","LPDDR4","LFBGA","DRAM"
"MT53E256M32D1KS-046 AIT:L","8Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","Production","256Mb x32","1360","10.00 x 14.50 x 0.95","2000","1","COMPONENT","LPDDR4","VFBGA","DRAM"
"MT53E128M32D2DS-053 AIT:A","4Gb","1866MHz","3733MTPS","1.1/0.6 VOLTS","-40C to +95C","x32","CL = Programmable","200-ball","End of Life","128Mb x32","1360","10.00 x 14.50 x 0.80","2000","2","COMPONENT","LPDDR4","WFBGA","DRAM"
"MT53D768M16D1Z3BMWC1","12Gb","","","1.1/0.6 VOLTS","-25C to +85C","x16","","","Obsolete","768Mb x16","","","","1","DIE","","","DRAM"
"MT53E1G64D4HJ-046 AIT:A","64Gb","2133MHz","4266MTPS","1.1/0.6 VOLTS","-40C to +95C","x64","CL = Programmable","556-ball","End of Life","1Gb x64","1360","12.40 x 12.40 x 1.10","2000","4","COMPONENT","LPDDR4","TFBGA","DRAM"
