pn_raw,pn_normalized,chip_type,subtype,capacity,emcp_nand,emcp_ram,interface,package,confidence,source_url,source_tier,source_doc,notes
SDINBDG4-32G,SDINBDG432G,eMMC,,32GB,,,eMMC 5.1,,confirmed,https://www.verical.com/datasheet/sandisk-nand-flash-sdinbdg4-8g-4059888.pdf,1,PB02-iNAND-7250-US-EN-0817-02,[!] NOT UFS - iNAND 7250 eMMC 5.1; 11.5x13x1.0mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDG4-64G,SDINBDG464G,eMMC,,64GB,,,eMMC 5.1,,confirmed,https://www.verical.com/datasheet/sandisk-nand-flash-sdinbdg4-8g-4059888.pdf,1,PB02-iNAND-7250-US-EN-0817-02,[!] NOT UFS - iNAND 7250 eMMC 5.1; 11.5x13x1.2mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDD4-32G,SDINBDD432G,eMMC,,32GB,,,eMMC 5.1,,confirmed,https://www.sandisk.com/content/dam/sandisk-main/en_us/assets/resources/data-sheets/iNAND-7350-Prod-Brief.pdf,1,PB01-iNAND-7350-US-EN-0217-01,[!] NOT UFS - SDINBDD4 = iNAND 7350 eMMC 5.1 3D NAND per official SanDisk product brief (2 independent agent confirmations). 11.5x13x0.8mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDD4-64G,SDINBDD464G,eMMC,,64GB,,,eMMC 5.1,,confirmed,https://www.sandisk.com/content/dam/sandisk-main/en_us/assets/resources/data-sheets/iNAND-7350-Prod-Brief.pdf,1,PB01-iNAND-7350-US-EN-0217-01,[!] NOT UFS - iNAND 7350 eMMC 5.1; 11.5x13x1.0mm. Huawei Nova 2s assoc. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDD4-128G,SDINBDD4128G,eMMC,,128GB,,,eMMC 5.1,,confirmed,https://www.sandisk.com/content/dam/sandisk-main/en_us/assets/resources/data-sheets/iNAND-7350-Prod-Brief.pdf,1,PB01-iNAND-7350-US-EN-0217-01,[!] NOT UFS - iNAND 7350 eMMC 5.1; 11.5x13x1.0mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDD4-256G,SDINBDD4256G,eMMC,,256GB,,,eMMC 5.1,,confirmed,https://www.sandisk.com/content/dam/sandisk-main/en_us/assets/resources/data-sheets/iNAND-7350-Prod-Brief.pdf,1,PB01-iNAND-7350-US-EN-0217-01,[!] NOT UFS - iNAND 7350 eMMC 5.1 flagship; 11.5x13x1.2mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDA4-32G,SDINBDA432G,eMMC,,32GB,,,eMMC 5.1,,confirmed,https://www.mouser.com/datasheet/2/669/iNAND_7550_Prod_Brief_EN_US-2952685.pdf,1,PB04-iNAND-7550-EN-US-1117-01,[!] NOT UFS - SDINBDA4 = iNAND 7550 eMMC 5.1 HS400 3D NAND Gen4 SmartSLC per official WD brief. 11.5x13x1.0mm. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDA4-64G,SDINBDA464G,eMMC,,64GB,,,eMMC 5.1,,confirmed,https://www.mouser.com/datasheet/2/669/iNAND_7550_Prod_Brief_EN_US-2952685.pdf,1,PB04-iNAND-7550-EN-US-1117-01,[!] NOT UFS - iNAND 7550 eMMC 5.1. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDA4-128G,SDINBDA4128G,eMMC,,128GB,,,eMMC 5.1,,confirmed,https://www.mouser.com/datasheet/2/669/iNAND_7550_Prod_Brief_EN_US-2952685.pdf,1,PB04-iNAND-7550-EN-US-1117-01,[!] NOT UFS - iNAND 7550 eMMC 5.1. Huawei Honor 8X assoc. Tier-3 aggregators add unverified 'SLC' - ignore. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINBDA4-256G,SDINBDA4256G,eMMC,,256GB,,,eMMC 5.1,,confirmed,https://www.mouser.com/datasheet/2/669/iNAND_7550_Prod_Brief_EN_US-2952685.pdf,1,PB04-iNAND-7550-EN-US-1117-01,[!] NOT UFS - iNAND 7550 eMMC 5.1 mid/high-end mobile. CONTRADICTS WTC grammar 'SDINB=UFS'.
SDINDDH4-32G,SDINDDH432G,UFS,,32GB,,,UFS 2.1,BGA153,confirmed,https://www.mouser.com/datasheet/3/1199/1/iNAND-8521-Prod-Brief_EN_US.pdf,1,PB03-iNAND-8521-EN-US-1117-01,Genuine mobile UFS 2.1 = iNAND 8521 / iNAND MC EU311; Gear3 2-lane; TFBGA-153 11.5x13mm. This is the real SanDisk mobile-UFS line.
SDINDDH4-64G,SDINDDH464G,UFS,,64GB,,,UFS 2.1,BGA153,confirmed,https://www.mouser.com/datasheet/3/1199/1/iNAND-8521-Prod-Brief_EN_US.pdf,1,PB03-iNAND-8521-EN-US-1117-01,iNAND 8521 UFS 2.1 Gear3 2-lane; TFBGA-153.
SDINDDH4-128G,SDINDDH4128G,UFS,,128GB,,,UFS 2.1,BGA153,confirmed,https://www.mouser.com/datasheet/3/1199/1/iNAND-8521-Prod-Brief_EN_US.pdf,1,PB03-iNAND-8521-EN-US-1117-01,iNAND 8521 UFS 2.1; read ~500MB/s; TFBGA-153.
SDINDDH4-256G,SDINDDH4256G,UFS,,256GB,,,UFS 2.1,BGA153,confirmed,https://www.mouser.com/datasheet/3/1199/1/iNAND-8521-Prod-Brief_EN_US.pdf,1,PB03-iNAND-8521-EN-US-1117-01,iNAND 8521 UFS 2.1 Gear3 2-lane; TFBGA-153.
SDINDDH6-64G-I,SDINDDH664GI,UFS,,64GB,,,UFS 2.1,,distributor,https://www.mouser.com/ProductDetail/SanDisk/SDINDDH6-64G-I,2,,Industrial UFS 2.1 = iNAND IX EU312; TLC; -25..85C; Mouser listing 467-SDINDDH6-64G-I (-I=industrial). Full UFS spec table not captured -> distributor.
SDINEDK4-128G,SDINEDK4128G,UFS,,128GB,,,UFS 3.0,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINEDK4-128G,1,,iNAND MC EU511 mobile UFS 3.0 Gear4 2-lane; SmartSLC Gen6; seq write up to 800MB/s. Cross-confirmed by WD product brief (iNAND MC EU511).
SDINEDK4-256G,SDINEDK4256G,UFS,,256GB,,,UFS 3.0,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINEDK4-256G,1,,iNAND MC EU511 UFS 3.0; family 128-512GB; cross-confirmed by WD product brief.
SDINEDK4-512G,SDINEDK4512G,UFS,,512GB,,,UFS 3.0,,distributor,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives,2,,"iNAND MC EU511 UFS 3.0; 512G stated only via official family range 128-512GB, not an individual SKU page -> distributor pending per-SKU confirmation."
SDINFDK4-64G,SDINFDK464G,UFS,,64GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives,2,,iNAND MC EU551 UFS 3.1 Gear4 2-lane; Octopart aggregates Avnet+Arrow (authorized) for -64G. Per-SKU page not captured -> distributor.
SDINFDK4-128G,SDINFDK4128G,UFS,,128GB,,,UFS 3.1,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINFDK4-128G,1,,iNAND MC EU551 mobile UFS 3.1 Gear4 2-lane; SanDisk PDP + Octopart Avnet/Arrow; 2nd-gen UFS3.1 WriteBooster. Package BGA153 per Tier-3 only (not asserted).
SDINFDK4-256G,SDINFDK4256G,UFS,,256GB,,,UFS 3.1,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINFDK4-256G,1,,iNAND MC EU551 UFS 3.1; SanDisk PDP + Octopart (Avnet/Arrow).
SDINFDK4-512G,SDINFDK4512G,UFS,,512GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives,2,,iNAND MC EU551 UFS 3.1; 512G from official family range up to 512GB -> distributor pending per-SKU confirmation.
SDINFDO4-128G,SDINFDO4128G,UFS,,128GB,,,UFS 3.1,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINFDO4-128G,1,,UFS 3.1 mobile SKU listed as Model Number on SanDisk Commercial-UFS PDP (EU551/UFS3.1 section). Sibling prefix to SDINFDK4.
SDINFDO4-256G,SDINFDO4256G,UFS,,256GB,,,UFS 3.1,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINFDO4-256G,1,,UFS 3.1 mobile SKU listed as Model Number on SanDisk Commercial-UFS PDP.
SDINFDO4-512G,SDINFDO4512G,UFS,,512GB,,,UFS 3.1,,confirmed,https://www.sandisk.com/products/embedded-flash/mobile-inand-ufs-drives?sku=SDINFDO4-512G,1,,UFS 3.1 mobile SKU listed as Model Number on SanDisk Commercial-UFS PDP.
SDINFDQ6-64G-XA1,SDINFDQ664GXA1,UFS,,64GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/automotive-inand-ufs-drives?sku=SDINFDQ6-64G-XA1,2,,AUTOMOTIVE UFS = iNAND AT EU552 UFS 3.1; -XA = automotive AEC temp grade. SanDisk automotive-UFS shop. Less common in phone recycling stream.
SDINFDQ6-128G-ZA1,SDINFDQ6128GZA1,UFS,,128GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/automotive-inand-ufs-drives?sku=SDINFDQ6-128G-ZA1,2,,Automotive iNAND AT EU552 UFS 3.1; -ZA automotive grade. SanDisk automotive-UFS shop.
SDINFDQ6-256G-ZA1,SDINFDQ6256GZA1,UFS,,256GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/automotive-inand-ufs-drives?sku=SDINFDQ6-256G-ZA1,2,,Automotive iNAND AT EU552 UFS 3.1. SanDisk automotive-UFS shop.
SDINFDQ6-512G-ZA1,SDINFDQ6512GZA1,UFS,,512GB,,,UFS 3.1,,distributor,https://www.sandisk.com/products/embedded-flash/automotive-inand-ufs-drives?sku=SDINFDQ6-512G-ZA1,2,,Automotive iNAND AT EU552 UFS 3.1. SanDisk automotive-UFS shop.
SDADF4AP-16G,SDADF4AP16G,eMCP,LPDDR3,,16GB,LPDDR3 2GB,,BGA221,distributor,https://octopart.com/sdadf4ap-16g-sandisk-84695914,2,,16GB NAND + 2GB LPDDR3; Octopart distributor + yoycart '16+2 221-ball 3rd gen'; 221-ball=>LPDDR3 (WTC rule); Huawei DRA-LX2. RAM type not on Tier-1 table -> distributor. Sibling of SDADB48K-16G.
SDADL2AP-16G,SDADL2AP16G,eMMC,,16GB,,,,,skip,https://www.aliexpress.com/item/4000816153027.html,3,,CONVERTIDO p/ eMMC (RAM Tier-3 não importada): standalone 16GB. Única fonte AliExpress (Tier 3) → skip; aguardar Tier 1/2. Quando RAM confirmada em Tier 1, promover p/ eMCP LPDDR3 2GB.
SDADL2BP-32G,SDADL2BP32G,eMMC,,32GB,,,,,skip,https://www.jotrin.com/product/parts/SDADL2BP_32G,3,,CONVERTIDO p/ eMMC (RAM Tier-3 não importada): standalone 32GB. NAND: Jotrin/WinSource/Arrow/Censtry mencionados mas URL primário=Jotrin (Tier 3) → skip até confirmar via Arrow direto. Huawei FIG-LA1. Quando NAND+RAM Tier 1, promover p/ eMCP LPDDR3 3GB.
SDADA4CR-64G,SDADA4CR64G,eMCP,LPDDR4,,64GB,LPDDR4 4GB,,BGA254,skip,https://www.yoycart.com/Product/607995355559/,3,,CORRIGIDO (era distributor, downgraded): sources reais são yoycart + WinSource + Jotrin = todos Tier 3. 64GB NAND + 4GB RAM consistente entre fontes; 254-ball=>LPDDR4 (WTC rule). LPDDR4 vs LPDDR4X não resolvido. Importar só após Tier1/2 confirmar. Se confirmado, irmão de SDADA4DR-64G.
SDADA4DR-64G,SDADA4DR64G,eMCP,LPDDR4,,64GB,LPDDR4 4GB,,BGA254,distributor,https://www.lcsc.com/product-detail/EMMC_SANDISK-SDADA4DR-64G_C2830407.html,2,,64GB NAND + 4GB RAM; LCSC C2830407 + JLCPCB BGA254; AliExpress '64+4'; 254-ball=>LPDDR4. Revision of SDADA4CR-64G. LPDDR4/4X unresolved.
SDADA4CR-128G,SDADA4CR128G,eMCP,LPDDR4,,128GB,LPDDR4 4GB,,BGA254,skip,https://www.aliexpress.com/item/3256809098713302.html,3,,128GB NAND; RAM from AliExpress '128+32Gbit'=4GB + Samsung KMDV6001DM-B620 cross-ref; 254-ball=>LPDDR4. RAM Tier-3 only -> skip; if downgraded treat as eMMC 128GB. LPDDR4/4X unresolved.
SD7DP26A-4G,SD7DP26A4G,eMMC,,4GB,,,,,skip,https://www.aliexpress.com/item/32660030150.html,3,,Laser die-code; Tier-3 repair-lot listings only; Octopart returns zero. SDIN7DP-family die-code but exact SKU/interface UNVERIFIED; 4GB from suffix only. Already in SANDISK.md 'awaiting confirmation'.
SD7DP41E-16G,SD7DP41E16G,eMMC,,16GB,,,,,skip,https://nzl.grandado.com/products/1pcs-lot-sd7dp24f-4g-sd7dp26a-4g-sd7dp28c-8g-sd7dp41e-16g,3,,Laser die-code; Tier-3 repair-lot bundles only (Grandado/ic-components); Octopart zero; interface UNVERIFIED; 16GB from suffix only. Already in SANDISK.md 'awaiting confirmation'.
