pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLMDG8JENB,KLMDG8JENB-B041,KLMDG8JENB,yes,eMMC,eMMC 5.1 Samsung,128GB,1024,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. D=128GB. pn[6]=J (1ynm). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMDG4UERM,KLMDG4UERM-B041,KLMDG4UERM,yes,eMMC,eMMC 5.1 Samsung,128GB,1024,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. D=128GB. pn[6]=U (geração U ~2019-2021). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMDG4UCTA,KLMDG4UCTA-B041,KLMDG4UCTA,yes,eMMC,eMMC 5.1 Samsung,128GB,1024,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. D=128GB. pn[6]=U. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMDG4UCTB,KLMDG4UCTB-B041,KLMDG4UCTB,yes,eMMC,eMMC 5.1 Samsung,128GB,1024,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. D=128GB. pn[6]=U. UCTB variante B. 11.5x13x1.0mm. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMDG2RCTE,KLMDG2RCTE-B041,KLMDG2RCTE,yes,eMMC,eMMC 5.1 Samsung,128GB,1024,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. D=128GB. pn[6]=R (~2018-2019). 11.5x13x0.8mm. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMEG4RCTE,KLMEG4RCTE-B041,KLMEG4RCTE,yes,eMMC,eMMC 5.1 Samsung,256GB,2048,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. E=256GB. pn[6]=R. Família KLMEG = maior densidade eMMC standalone Samsung. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMEG8UERM,KLMEG8UERM-C041,KLMEG8UERM,yes,eMMC,eMMC 5.1 Samsung,256GB,2048,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. E=256GB. pn[6]=U. Sufixo -C041 (geração C — mais nova que B041). Confirmado Samsung Semiconductor USA.,Samsung Semiconductor Global,confirmed,enriched
KLM8G1GEME,KLM8G1GEME-B041,KLM8G1GEME,yes,eMMC,eMMC 5.1 Samsung,8GB,64,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. 8=8GB. pn[6]=G (geração G ~2017-2019). Sufixo ME = revisão de processo M. -B041 confirma eMMC 5.1. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLM8G1GEUF,KLM8G1GEUF-B04P,KLM8G1GEUF,yes,eMMC,eMMC 5.1 Samsung,8GB,64,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. 8=8GB. pn[6]=G. Sufixo UF = revisão U (~2019-2021). -B04P/-B04Q confirmam eMMC 5.1. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLM8G1GESD,KLM8G1GESD-B04Q,KLM8G1GESD,yes,eMMC,eMMC 5.1 Samsung,8GB,64,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. 8=8GB. pn[6]=G. Sufixo SD = revisão S. ⚠ -B03P/-B03Q = eMMC 5.0 (mais antigo); -B04P/-B04Q = eMMC 5.1. Este PN (base) importado como 5.1 (B04Q). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLM8G1GEND,KLM8G1GEND-B031,KLM8G1GEND,yes,eMMC,eMMC 5.0 Samsung,8GB,64,,eMMC 5.0,,3.3V/1.8V,,,,FBGA,eMMC 5.0. 8=8GB. pn[6]=G. Sufixo ND = revisão N. ⚠ -B031 confirma eMMC 5.0 (vs -B041 que seria 5.1). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
